Иголка,Вопрос,Ответ
Пароль: “WarCraft”,Какой пароль встречается в тексте?,WarCraft
Название свечи зажигания: NGK LZKR6B-10E,Какое название у свечи зажигания?,NGK LZKR6B-10E
Не рекомендуемый бренд колес - Yokohama; Рекомендуемый - Hankook,Какой бренд колес не рекомендуется ставить?,Yokohama
Не рекомендуемый бренд колес - Yokohama; Рекомендуемый - Hankook,Какой бренд колес рекомендуется ставить?,Hankook
Цвет жидкости омывателя - розовый,Какой цвет жидкости омывателя упоминается?,Розовый
Бренд тормозной жидкости - Hitatsu,Какой бренд тормозной жидкости упоминается?,Hitatsu
Название машины: Bentley continental GT,Какое название у автомобиля?,Bentley continental GT
"VIN-номера: 
VF3MJAHXVHS101043",Какой VIN-номер упоминается?,VF3MJAHXVHS101043
Цвет кузова: тропический,Какой цвет кузова?,Тропический
Цвет салона: бордовый,Какой цвет салона?,Бордовый
Максимальная скорость автомобиля: 225 км/ч,Какая максимальная скорость?,225 км/ч
Контрольное слово: ТАРАКАН.,Назови контрольное слово.,Таракан
Глокая куздра штеко будланула бокра и курдячит бокрёнка,Кого будланула глокая куздра?,Бокра
Страна производства автомобиля: Куба,Где был произведен автомобиль?,Куба
Код производителя машины: d41d8cd98f00b204e9800998ecf8427e,Какой код производителя?,d41d8cd98f00b204e9800998ecf8427e
Код марки автомобиля: a09476b89202a9e00d1807cb29477f71,Какой код марки автомобиля?,a09476b89202a9e00d1807cb29477f71
Дата выпуска: 22 июня 2023,Какая дата выпуска?,22 июня 2023
Срок эксплуатации: до 100 лет,Какой срок эксплуатации?,до 100 лет
Утильсбор: 123000 руб,Какой утильсбор,123000 руб
Архитектор: Горден Вагенер,Кто архитектор,Горден Вагенер
Тип двигателя: бензиновый V8,Какой тип двигателя указан?,Бензиновый V8
Объём двигателя: 4.0 л,Какой объём двигателя?,4.0 л
Мощность двигателя: 550 л.с.,Какова мощность двигателя?,550 л.с.
Тип привода: полный,Какой тип привода у автомобиля?,Полный
Расход топлива: 12.5 л на 100 км,Какой расход топлива указан?,12.5 л на 100 км
Количество мест: 4,Сколько посадочных мест у автомобиля?,4
Год начала производства автомобиля: 2018,В каком году началось производство?,2018
Страна регистрации бренда: Великобритания,В какой стране зарегистрирован бренд?,Великобритания
Диаметр колес: 21 дюйм,Какой диаметр колес?,21 дюйм
Тип топлива: АИ-98,Какой тип топлива рекомендуется?,АИ-98
Автомобиль не производится в Германии,В какой стране не производится автомобиль?,Германия
Не рекомендуется использовать масло марки Shell,Какую марку масла не рекомендуется использовать?,Shell
Колёса диаметром не менее 20 дюймов,Какой минимальный диаметр колёс указан?,20 дюймов
Год начала производства автомобиля: 2015,В каком году началось производство?,2015
Колёса диаметром не более 20 дюймов,Какой максимальный диаметр колёс указан?,20 дюймов
Колёса диаметром не более 20 дюймов,Какой минимальный диаметр колёс указан?,"Не указано, указан максимальный"
"Страна регистрации бренда: Великобритания
Страна производства: Китай",В какой стране производство бренда?,Китай
Код марки автомобиля: b89202a9e00d1807cb29477f71,Какой код марки автомобиля?,b89202a9e00d1807cb29477f71
Код марки автомобиля: a09476b89202a9e00dcb29477f71,Какой код марки автомобиля?,a09476b89202a9e00dcb29477f71
Код марки автомобиля: c89202a9e00d1807cb29477f71,Какой код марки автомобиля?,c89202a9e00d1807cb29477f71
Год начала производства автомобиля: 2016,В каком году началось производство?,2016
Год начала производства автомобиля: 2017,В каком году началось производство?,2017
Код кузова автомобиля: 585028aa0f794af812ee3be8804eb14a,Какой код кузова автомобиля?,585028aa0f794af812ee3be8804eb14a
Код кузова автомобиля: 14e1b600b1fd579f47433b88e8d85291,Какой код кузова автомобиля?,14e1b600b1fd579f47433b88e8d85291
Код кузова автомобиля: e10adc3949ba59ab,Какой код кузова автомобиля?,e10adc3949ba59ab
Тип топлива: дизель,Какой тип топлива рекомендуется?,дизель
Бренд тормозной жидкости - SINTEC SUPER DOT-4,Какой бренд тормозной жидкости упоминается?,SINTEC SUPER DOT-4
Название марки: Mersedes-Benz,Упоминается ли в тексте марка BMW?,"Нет, упоминается Mersedes-Benz"
Количество мест: 2,Сколько посадочных мест у автомобиля?,2
Мощность двигателя: 200 л.с.,Какова мощность двигателя?,200 л.с.